analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2009,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2010,8.6
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2011,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2012,8
018OL,une_rt_a_h Y15-74 PC_ACT T,SE,2013,8.1
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2004,6.3
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2005,6.5
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2006,6
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2007,4.9
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2008,4.4
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2009,5.9
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2010,7.3
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2011,8.2
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2012,8.9
018OL,une_rt_a_h Y15-74 PC_ACT T,SI,2013,10.1
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2004,18.2
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2005,16.3
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2006,13.4
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2007,11.1
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2008,9.5
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2009,12
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2010,14.4
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2011,13.6
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2012,14
018OL,une_rt_a_h Y15-74 PC_ACT T,SK,2013,14.2
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2004,5.829999924
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2005,5.6300001140000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2006,5.239999771
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2007,4.860000134
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2008,4.1300001140000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2009,5.300000191
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2010,4.820000172
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2011,4.559999943
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2012,4.8699998859999996
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,AT,2013,5.340000153
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2004,7.360000134
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2005,8.43999958
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2006,8.25
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2007,7.4600000380000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2008,6.980000019
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2009,7.909999847
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2010,8.289999962
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2011,7.139999866
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2012,7.5399999619999996
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BE,2013,8.430000305
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2004,12.03999996
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2005,10.07999992
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2006,8.949999809
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2007,6.8800001140000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2008,5.610000134
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2009,6.820000172
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2010,10.27999973
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2011,11.26000023
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2012,12.27000046
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,BG,2013,12.93999958
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2004,4.329999924
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2005,5.300000191
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2006,4.5399999619999996
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2007,3.920000076
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2008,3.6500000950000002
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2009,5.360000134
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2010,6.260000229
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2011,7.860000134
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2012,11.80000019
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CY,2013,15.86999989
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2004,8.210000038
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2005,7.929999828
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2006,7.150000095
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2007,5.320000172
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2008,4.389999866
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2009,6.659999847
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2010,7.28000021
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2011,6.7100000380000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2012,6.980000019
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,CZ,2013,6.949999809
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2004,10.72999954
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2005,11.17000008
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2006,10.25
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2007,8.659999847
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2008,7.519999981
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2009,7.739999771
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2010,6.96999979
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2011,5.820000172
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2012,5.3800001140000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DE,2013,5.230000019
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2004,5.199999809
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2005,4.829999924
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2006,3.9000000950000002
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2007,3.799999952
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2008,3.680000067
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2009,6.409999847
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2010,7.75
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2011,7.769999981
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2012,7.800000191
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,DK,2013,7.3800001140000004
C6HJR,World Bank SL.UEM.TOTL.NE.ZS,EE,2004,10.25
