measure,predictor,source,cntry,year,value
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2011,5.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2012,1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PL,2013,0.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2004,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2005,0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2006,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2007,2.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2008,0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2009,-3.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2010,1.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2011,-1.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2012,-4.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,PT,2013,-1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2004,10.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2005,4.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2006,8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2007,7.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2008,9.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2009,-5.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2010,-3.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2011,4.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2012,1.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,RO,2013,0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2004,4.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2005,2.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2006,4.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2007,3.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2008,-0.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2009,-4.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2010,5.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2011,3.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2012,-0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SE,2013,1.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2004,4.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2005,3.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2006,5.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2007,7.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2008,3.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2009,-7.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2010,1.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2011,0.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2012,-2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SI,2013,-0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2004,5.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2005,6.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2006,8.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2007,10.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2008,5.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2009,-5.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2010,6.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2011,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2012,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,SK,2013,0.7
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2004,2.735120222
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2005,2.2440653250000002
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2006,3.454041836
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2007,3.727415301
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2008,1.460423676
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2009,-3.764578178
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2010,1.837093677
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2011,2.922797284
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2012,0.680445577
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,AT,2013,0.025504712
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2004,3.571204343
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2005,2.321737054
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2006,2.552349944
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2007,3.676881136
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2008,0.446928735
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2009,-2.020743062
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2010,2.864292708
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2011,1.694513899
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2012,0.739217283
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BE,2013,0.459242193
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2004,6.510426379
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2005,7.056347526
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2006,6.802589382
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2007,6.591380837
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2008,6.116017964
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2009,-3.271854279
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2010,1.541801443
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2011,2.10120575
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2012,0.754930386
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,BG,2013,-0.560493966
wb_growth,growth,World Bank NY.GDP.MKTP.KD.ZG,CY,2004,5.026343926
