outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mneg,raw,other,pooled_cl,no_bailout,n_cell,0.2866621429966506
mcosmo,raw,other,fe_twoway,no_GR_ES,none,-0.12263553089210431
mutil,raw,other,fe_twoway,no_GR_ES,none,-0.13109801241526853
mcomm,raw,other,fe_twoway,no_GR_ES,none,-0.35817200540152794
mlib,raw,other,fe_twoway,no_GR_ES,none,0.09462257421947466
mpos,raw,other,fe_twoway,no_GR_ES,none,-0.16964216219138775
mneg,raw,other,fe_twoway,no_GR_ES,none,-0.22681912382763617
mcosmo,raw,other,fe_twoway,no_GR_ES,n_cell,-0.0467151617034058
mutil,raw,other,fe_twoway,no_GR_ES,n_cell,-0.16662811938734287
mcomm,raw,other,fe_twoway,no_GR_ES,n_cell,-0.34384273334025633
mlib,raw,other,fe_twoway,no_GR_ES,n_cell,0.1552069007586212
mpos,raw,other,fe_twoway,no_GR_ES,n_cell,-0.113947082623492
mneg,raw,other,fe_twoway,no_GR_ES,n_cell,-0.1671745625078541
mcosmo,raw,other,fe_country,no_GR_ES,none,-0.3021251364663103
mutil,raw,other,fe_country,no_GR_ES,none,-0.3070591910506857
mcomm,raw,other,fe_country,no_GR_ES,none,-0.4503124114494836
mlib,raw,other,fe_country,no_GR_ES,none,-0.2205475885900415
mpos,raw,other,fe_country,no_GR_ES,none,-0.3890107656644908
mneg,raw,other,fe_country,no_GR_ES,none,-0.4355951727414603
mcosmo,raw,other,fe_country,no_GR_ES,n_cell,-0.23047043114696403
mutil,raw,other,fe_country,no_GR_ES,n_cell,-0.3384104992406719
mcomm,raw,other,fe_country,no_GR_ES,n_cell,-0.43746248995911846
mlib,raw,other,fe_country,no_GR_ES,n_cell,-0.1656584673720063
mpos,raw,other,fe_country,no_GR_ES,n_cell,-0.3436341465444085
mneg,raw,other,fe_country,no_GR_ES,n_cell,-0.39366842182865847
mcosmo,raw,other,re,no_GR_ES,none,-0.24678521831194733
mutil,raw,other,re,no_GR_ES,none,-0.2778711026571877
