construction,item_set,noop,cell_weight,cntry,year,n_cell,n_eff_cell,outcome,value
count,all,drop,design,MT,2007,462,344.6587065598212,mcomm,0.34061013339436175
count,all,drop,design,MT,2008,906,614.0740291193756,mcomm,0.33947482181031136
count,all,drop,design,MT,2009,453,364.812948112048,mcomm,0.44517174987609176
count,all,drop,design,MT,2010,923,794.4788293874586,mcomm,0.337163429074487
count,all,drop,design,MT,2011,886,694.3514134596712,mcomm,0.33224166095770835
count,all,drop,design,MT,2012,916,695.5245200145906,mcomm,0.35338505553472455
count,all,drop,design,MT,2013,444,324.7053432226924,mcomm,0.29682709776710126
count,all,drop,design,NL,2004,1937,1797.658680114152,mcomm,0.8936256308846734
count,all,drop,design,NL,2005,1970,1699.786094262551,mcomm,0.8771275965115969
count,all,drop,design,NL,2006,961,863.0527837766418,mcomm,0.7452607685175752
count,all,drop,design,NL,2007,946,829.3319593485747,mcomm,0.6543539626682583
count,all,drop,design,NL,2008,1979,1513.1256056308048,mcomm,0.5155947113458239
count,all,drop,design,NL,2009,961,794.087576524105,mcomm,0.5274757126731849
count,all,drop,design,NL,2010,1967,1741.812483066985,mcomm,0.4782753467347929
count,all,drop,design,NL,2011,1934,1689.8856096822065,mcomm,0.5207564977336329
count,all,drop,design,NL,2012,1960,1699.9834192793892,mcomm,0.45566165227869476
count,all,drop,design,NL,2013,971,809.0800186541201,mcomm,0.6208200041610502
count,all,drop,design,PL,2004,949,914.8254432878852,mcomm,0.403153251391616
count,all,drop,design,PL,2005,1881,1794.688467829087,mcomm,0.39165614002219007
count,all,drop,design,PL,2006,949,900.5002693655885,mcomm,0.34911163973950193
count,all,drop,design,PL,2007,956,893.4763777095128,mcomm,0.29104446851434995
count,all,drop,design,PL,2008,1822,1686.3403268420027,mcomm,0.23166644182441798
count,all,drop,design,PL,2009,892,821.7908205259334,mcomm,0.25261976155307725
count,all,drop,design,PL,2010,1793,1589.566256251457,mcomm,0.2721526130184789
count,all,drop,design,PL,2011,1804,1658.7443346048135,mcomm,0.3002895053643544
count,all,drop,design,PL,2012,1824,1677.899981625713,mcomm,0.2989853199814081
count,all,drop,design,PL,2013,918,817.937917708677,mcomm,0.3056254278486467
count,all,drop,design,PT,2004,1705,1614.00953488537,mcomm,0.5695358091006417
count,all,drop,design,PT,2005,1777,1511.724843483941,mcomm,0.650964871888109
count,all,drop,design,PT,2006,829,701.1146352169653,mcomm,0.7748391434381607
count,all,drop,design,PT,2007,881,854.3649247814291,mcomm,0.6584469189965104
count,all,drop,design,PT,2008,1764,1730.4908882464351,mcomm,0.6630347476568651
count,all,drop,design,PT,2009,936,911.808741942583,mcomm,0.6523994605108691
count,all,drop,design,PT,2010,1806,1745.1949614626335,mcomm,0.7676436203084094
count,all,drop,design,PT,2011,1812,1769.848915021342,mcomm,0.8365578876731399
count,all,drop,design,PT,2012,1736,1684.4515720152726,mcomm,0.8742055647555683
count,all,drop,design,PT,2013,879,854.9632477167964,mcomm,0.7964001214292727
count,all,drop,design,RO,2004,975,969.0849619049758,mcomm,0.3499994154146403
count,all,drop,design,RO,2005,1895,1679.4188543197042,mcomm,0.3833181205159411
count,all,drop,design,RO,2006,902,864.3013464912818,mcomm,0.31961602990877375
count,all,drop,design,RO,2007,957,914.89024995413115,mcomm,0.25474274652925605
count,all,drop,design,RO,2008,1959,1853.9737783365483,mcomm,0.33926491285907606
count,all,drop,design,RO,2009,950,901.0135084427147,mcomm,0.3476065240092986
count,all,drop,design,RO,2010,1884,1806.4700860822095,mcomm,0.4851561329900785
count,all,drop,design,RO,2011,1868,1796.5897840485109,mcomm,0.3533868201124907
count,all,drop,design,RO,2012,1946,1849.6763330707004,mcomm,0.43336442426686633
count,all,drop,design,RO,2013,1025,968.928226228842,mcomm,0.41824484557477315
count,all,drop,design,SE,2004,1976,1939.7765428136381,mcomm,1.0189138291977724
count,all,drop,design,SE,2005,2037,1900.974628780317,mcomm,1.0350185874738154
count,all,drop,design,SE,2006,1001,890.7483488416029,mcomm,0.8199124301733706
count,all,drop,design,SE,2007,987,798.4422346727305,mcomm,0.7099670088738073
count,all,drop,design,SE,2008,1962,1736.9544035108058,mcomm,0.6393894099297516
count,all,drop,design,SE,2009,1015,782.529198155244,mcomm,0.5926921346214556
count,all,drop,design,SE,2010,2014,1548.2004968381402,mcomm,0.5692317093961599
count,all,drop,design,SE,2011,2026,1462.2290124796675,mcomm,0.4974233039011635
count,all,drop,design,SE,2012,1988,1381.2123735159264,mcomm,0.5287135951641663
count,all,drop,design,SE,2013,983,632.9807477941234,mcomm,0.5643866186503163
count,all,drop,design,SI,2004,962,908.9283262934564,mcomm,0.7743674848196668
count,all,drop,design,SI,2005,1967,1879.7776553496772,mcomm,0.8056334661271712
count,all,drop,design,SI,2006,970,927.6251636381376,mcomm,0.6877170517694312
count,all,drop,design,SI,2007,967,889.8482380395106,mcomm,0.6084798261603143
count,all,drop,design,SI,2008,1933,1776.9054198487277,mcomm,0.5963518787747226
count,all,drop,design,SI,2009,976,911.5306395903441,mcomm,0.8469841559942594
count,all,drop,design,SI,2010,1931,1799.2724997742437,mcomm,0.7505217524671403
count,all,drop,design,SI,2011,1957,1829.3898266856397,mcomm,0.8033033102889839
count,all,drop,design,SI,2012,1908,1843.9145842767869,mcomm,0.6898661108000368
count,all,drop,design,SI,2013,957,921.8375024248461,mcomm,0.8008211926699698
count,all,drop,design,SK,2004,1208,956.8021057804742,mcomm,0.741722666829157
count,all,drop,design,SK,2005,2152,1783.757007308845,mcomm,0.7428282207479981
count,all,drop,design,SK,2006,1053,915.8156601856856,mcomm,0.6681674007557403
count,all,drop,design,SK,2007,1090,834.2401899583098,mcomm,0.608364113682037
count,all,drop,design,SK,2008,2007,1612.6612412321442,mcomm,0.5819342943384105
count,all,drop,design,SK,2009,997,838.2761257973211,mcomm,0.5312300709719582
count,all,drop,design,SK,2010,1966,1743.496933015236,mcomm,0.6601835808897526
count,all,drop,design,SK,2011,1915,1682.75490934178,mcomm,0.7222979287682731
count,all,drop,design,SK,2012,1889,1676.5293133032815,mcomm,0.7150989889116514
count,all,drop,design,SK,2013,946,794.2666595475125,mcomm,0.7091738133231712
count,all,drop,design,AT,2004,1958,1186.1718648565677,mcosmo,1.4735666577602267
count,all,drop,design,AT,2005,1978,1712.965190124056,mcosmo,1.415390523374331
count,all,drop,design,AT,2006,996,856.4079395409902,mcosmo,1.3560379602397827
count,all,drop,design,AT,2007,984,869.4490473801006,mcosmo,1.6318366729810967
count,all,drop,design,AT,2008,1944,1707.5944374999829,mcosmo,1.4945500626008237
count,all,drop,design,AT,2009,1014,970.2059914878348,mcosmo,1.773054619092585
count,all,drop,design,AT,2010,1973,1845.1643372462165,mcosmo,1.5277458103023163
count,all,drop,design,AT,2011,1971,1785.350931056281,mcosmo,1.5676805747918838
count,all,drop,design,AT,2012,1964,1779.0555011098581,mcosmo,1.6960175030285791
count,all,drop,design,AT,2013,982,839.0002887263576,mcosmo,1.7783685272413738
count,all,drop,design,BE,2004,1871,1783.7135686437668,mcosmo,1.8912944969783254
count,all,drop,design,BE,2005,1965,1857.3645711357954,mcosmo,1.9867383774962541
count,all,drop,design,BE,2006,983,918.7079601046214,mcosmo,1.9609928980938056
count,all,drop,design,BE,2007,972,946.0003252120476,mcosmo,2.008159906429529
count,all,drop,design,BE,2008,1952,1799.8327054320944,mcosmo,1.6838205472202654
count,all,drop,design,BE,2009,957,905.5039388152145,mcosmo,1.563819991650234
count,all,drop,design,BE,2010,1929,1823.7036200366776,mcosmo,1.5719298839906495
count,all,drop,design,BE,2011,1971,1780.8398989569223,mcosmo,1.5533609197165825
count,all,drop,design,BE,2012,1981,1839.353660819529,mcosmo,1.2858709986970704
count,all,drop,design,BE,2013,946,891.1701970316738,mcosmo,1.2971134831380948
count,all,drop,design,BG,2004,907,869.160048901559,mcosmo,1.9573244536478103
count,all,drop,design,BG,2005,1866,1820.6085423174293,mcosmo,1.490208726888534
count,all,drop,design,BG,2006,938,913.0230530063732,mcosmo,1.3885266299166448
count,all,drop,design,BG,2007,974,917.2040283680266,mcosmo,1.729607895972715
count,all,drop,design,BG,2008,1825,1727.7936842610145,mcosmo,1.4555578893581196
count,all,drop,design,BG,2009,954,909.4969389604528,mcosmo,1.8311620418048917
count,all,drop,design,BG,2010,1925,1857.5371931498526,mcosmo,1.6821624552806935
count,all,drop,design,BG,2011,1920,1769.880228451541,mcosmo,1.4806498661162877
count,all,drop,design,BG,2012,1944,1828.1449297641273,mcosmo,1.5121522134245051
count,all,drop,design,BG,2013,954,875.0713085755444,mcosmo,1.5636721067703931
count,all,drop,design,CY,2004,479,419.4654693253978,mcosmo,2.4977954899807853
count,all,drop,design,CY,2005,995,881.6131266480592,mcosmo,2.3573704658058414
count,all,drop,design,CY,2006,495,456.6445830127354,mcosmo,2.148669811901396
count,all,drop,design,CY,2007,492,420.4044198157913,mcosmo,2.1060754241413298
count,all,drop,design,CY,2008,983,746.3310572031056,mcosmo,2.128545809717574
count,all,drop,design,CY,2009,503,434.39967088989346,mcosmo,2.0340752630845818
count,all,drop,design,CY,2010,1002,995.9541363553498,mcosmo,1.759878266003927
count,all,drop,design,CY,2011,992,989.7867709145552,mcosmo,1.7814113715226763
count,all,drop,design,CY,2012,994,992.8397903754534,mcosmo,1.376741632931087
count,all,drop,design,CY,2013,492,491.492577658207,mcosmo,1.2210942632013686
count,all,drop,design,CZ,2004,1051,806.0900455090894,mcosmo,1.807197147574757
count,all,drop,design,CZ,2005,2173,1877.1565342704632,mcosmo,1.68836721973419
count,all,drop,design,CZ,2006,1026,875.942799855371,mcosmo,1.7326695151185942
count,all,drop,design,CZ,2007,1018,858.9091737329748,mcosmo,1.4984507858325629
count,all,drop,design,CZ,2008,1942,1565.154963684887,mcosmo,1.3955211144962751
count,all,drop,design,CZ,2009,1024,931.8258501835612,mcosmo,1.523733341333964
count,all,drop,design,CZ,2010,1979,1863.876959412007,mcosmo,1.4141297545977505
count,all,drop,design,CZ,2011,1954,1877.9480414915874,mcosmo,1.2338450424343592
count,all,drop,design,CZ,2012,1891,1737.4783182084755,mcosmo,1.2623720176428612
count,all,drop,design,CZ,2013,951,901.2670846840854,mcosmo,1.288014024798018
count,all,drop,design,DE,2004,3497,3042.5338699898984,mcosmo,1.971708942633767
count,all,drop,design,DE,2005,3001,2383.9789941008667,mcosmo,2.2423648347206826
count,all,drop,design,DE,2006,1500,1186.2391771911982,mcosmo,2.145233912474377
count,all,drop,design,DE,2007,1484,1199.6829306852007,mcosmo,1.998808863893869
count,all,drop,design,DE,2008,2978,2380.9160902677118,mcosmo,1.6889369492393942
count,all,drop,design,DE,2009,1463,1105.101291884672,mcosmo,1.8852610032943056
count,all,drop,design,DE,2010,3023,2358.6067349756513,mcosmo,1.694894570721451
count,all,drop,design,DE,2011,2985,2270.026622465538,mcosmo,1.6403293020735117
count,all,drop,design,DE,2012,2992,2382.6503498687116,mcosmo,1.6694591540813137
count,all,drop,design,DE,2013,1509,1193.8427852323287,mcosmo,1.6427872384790905
count,all,drop,design,DK,2004,1961,1841.6270606131718,mcosmo,2.0147005973176317
count,all,drop,design,DK,2005,2017,1777.6803067760086,mcosmo,2.141287475423771
count,all,drop,design,DK,2006,971,843.1652779100093,mcosmo,2.1667490829192135
count,all,drop,design,DK,2007,975,915.3994103134951,mcosmo,2.4306570568139034
count,all,drop,design,DK,2008,1986,1816.894980619801,mcosmo,2.028056203940657
count,all,drop,design,DK,2009,979,878.2380140439284,mcosmo,1.973745897940138
count,all,drop,design,DK,2010,2000,1752.5906174669742,mcosmo,1.9030951646267071
count,all,drop,design,DK,2011,1969,1762.4805829533132,mcosmo,1.9008518029493373
count,all,drop,design,DK,2012,1949,1632.1578446060826,mcosmo,1.8949172500667448
count,all,drop,design,DK,2013,989,868.7628844907198,mcosmo,1.8566378597861002
count,all,drop,design,EE,2004,950,875.4948662062092,mcosmo,1.4641440187286345
count,all,drop,design,EE,2005,1856,1674.2930118545485,mcosmo,1.3910834607653009
count,all,drop,design,EE,2006,914,843.8082605216767,mcosmo,1.333217538180118
